,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
151217,2009-10-12-066859,"secondly, i am in regular contact with president yudhoyono. when we spoke at the weekend we spoke about two sets of matters. one of course dealt with the most recent tragic earthquake in sumatra and hmas kanimbla has been despatched to provide assistance there.",kevin rudd,Q43135,2009-10-12 23:33:07,3,"['http://theaustralian.news.com.au/story/0,,26203012-601,00.html?from=public_rss'
 'http://theaustralian.news.com.au/story/0,,26203012-2702,00.html?from=public_rss'
 'http://news.com.au/heraldsun/story/0,21985,26203767-661,00.html?from=public_rss']",A,0.5871,['AS']
72341,2011-12-21-088306,"with a cargo capacity the equivalent of hmas ships manoora, kanimbla and tobruk combined, hmas choules is a proven capability having provided humanitarian relief when she was under royal navy command as rfa largs bay, assisting as part of the international response to the haiti earthquake in 2010.",steve gilmore,Multiple,2011-12-21 13:30:00,1,['http://adelaidenow.com.au/navy039s-new-ship-ready-for-action/story-e6frea6u-1226228065489?from=public_rss'],C,0.5159,['AS']
56529,2013-10-15-051494,"Papunta po ang Pangulong Aquino sa Camp Aguinaldo para ma-brief po nang buo ang Pangulo mula ho doon sa mga ahensya po natin tungkol sa mga naging epekto nung 7.2-magnitude na lindol kanina po sa Bohol at sa ibang kabahagi po ng Cebu,",Abigail Valte,Q17385518,2013-10-15 06:27:11,1,['http://www.gmanetwork.com/news/story/330948/news/nation/palace-says-pnoy-govt-on-top-of-visayas-situation'],D,0.948,['RP']
18941,2013-10-18-097984,"Yung mga nasa wild, wala naman sa kanila (ang earthquake). May chance sila na maka-escape from one tree to another,",Arvin Diesmos,Q2866073,2013-10-18 13:47:52,1,['http://www.gmanetwork.com/news/story/331506/scitech/science/bohol-wildlife-saw-the-quake-coming-caretakers-say'],D,0.6729,['RP']
150998,2013-10-15-006184,"Bakit po ito importante? Dahil hanggang kanina hong 12:12 ng tanghali, meron pa ho tayong mga nararamdaman na aftershock doon sa mga ibang lugar sa Bohol at Cebu,",Abigail Valte,Q17385518,2013-10-15 06:27:11,1,['http://www.gmanetwork.com/news/story/330948/news/nation/palace-says-pnoy-govt-on-top-of-visayas-situation'],D,0.9032,['RP']
32616,2013-10-15-043189,"Kasama na po dito, pinakilos na rin po ng Executive Secretary ang DPWH para siguraduhin na `yung mga structure po natin sa mga lugar na naapektuhan ay mai-inspeksyon ho nang mabuti. Bakit po ito importante? Dahil hanggang kanina hong 12:12 ng tanghali, meron pa ho tayong mga nararamdaman na aftershock doon sa mga ibang lugar sa Bohol at Cebu,",Abigail Valte,Q17385518,2013-10-15 07:01:34,1,['http://www.abs-cbnnews.com/nation/10/15/13/enough-funds-available-quake-hit-areas-palace'],D,0.8201,['RP']
215344,2014-02-23-027421,"Makikipagpanayam ang ating Pangulo sa mga mamamayan at aalamin din ang kanilang sitwasyon apat na buwan pagkatapos ng lindol sa Bohol upang matiyak na ginagawa ng pamahalaan ang mga tamang hakbang bilang pagkalinga sa kanila [ The President will interact with the the people and see for himself the situation in Bohol four months after a 7.2-magnitude quake. He will also make sure the concerned agencies are doing their work ],",None,,2014-02-23 14:13:26,1,['http://manilatimes.net/feb-25-regular-work-day/77944/'],D,0.6956,['RP']
150793,2017-07-02-063506,we never realized the magnitude of their preparation sa kanilang mga paputok,Rodrigo Duterte,Q457786,2017-07-02 13:14:22,1,['http://www.mindanews.com/top-stories/2017/07/duterte-that-war-in-marawi-will-continue-until-the-last-terrorist-is-taken-out/'],E,0.7789,['RP']
97829,2018-11-21-137434,"Yung economic sabotage may kaukulang penalty na criminal, depende sa magnitude na kung ano yung ginawa nila, depende sa damage. Yun ang kanilang pananagutan maliban sa administrative sanctions sa penalties and fines ng appropriate agencies tulad ng LTFRB,",None,,2018-11-21 10:48:34,1,['https://newsinfo.inquirer.net/1055827/ppa-sanctions-economic-sabotage-truck-holiday-protest'],E,0.8116,['RP']
35272,2019-02-27-058191,"It will be quake and flood-resilient. Kaya nga `yung sabi kanina e, incredible subway kasi among the reasons of the incredibility is addressing the issue of baha and earthquake,",Arthur Tugade,Q24810051,2019-02-27 06:19:35,2,"['https://newsinfo.inquirer.net/1090339/tugade-assures-safety-of-calamity-resilient-metro-manila-subway-project'
 'https://motioncars.inquirer.net/58189/tugade-assures-safety-of-calamity-resilient-metro-manila-subway-project']",E,0.634,['RP']
190092,2019-04-22-031366,"Posible pang magkaroon aftershocks sa mga susunod na oras at araw, pero habang tumatagal ay dapat dumalang ito, at of course, `yong fault na `yan ay hindi naman malaki, `yong kumilos kanina, so we expect that it would die down,",None,,2019-04-22 15:07:01,1,['https://newsinfo.inquirer.net/1109439/phivolcs-at-least-41-aftershocks-recorded-after-quake-more-expected'],E,0.9095,['RP']
61799,2020-02-07-007805,"As far as crude oil storage, I talked to one developer; it would be state of the art and it would be Alaskanized, it would have double dome roofs on the tanks, it would be earthquake strength, it would be triple containment - in other words you would have a tertiary and secondary containment system.",David Ott,Q2698430,2020-02-07 01:34:17,1,['http://www.petroleumnews.com/pntruncate/43102997.shtml'],E,0.6984,['US']
