,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
139407,2011-07-26-013722,"fake account ignore this poser. rt @phivolcs1 9.0 earthquake to hit luzon and negros #dumaguete #manila earthquake and tsunami warning,",kim atienza,Q6408346,2011-07-26 07:01:52,2,"['http://abs-cbnnews.com/entertainment/07/26/11/stars-share-quake-experience-twitter'
 'http://mb.com.ph/articles/328457/atienza-polices-fake-phivolcs-account-celebs-share-concern-over-quake']",C,0.4713,['RP']
232981,2013-01-28-004810,"as ndrrmc executive director, ramos spearheaded the conduct of a series of inter-agency meetings on some major natural calamities and disasters and non-typhoon related disasters that occurred in the country for the last three years, which included typhoon sendong and the northeast monsoon over northern and central luzon and the tail-end of a cold front over southern luzon, flashfloods, landslides, sea mishaps and storm surges in 2011 and the occurrence of earthquakes, one plane crash in masbate involving the late interior secretary jesse robredo, and two southwest monsoon which affected regions i, iii, iv-a, iv-b, ncr and car in 2012,",hernando iriberri,Q19560819,2013-01-28 08:18:31,1,['http://newsinfo.inquirer.net/348423/retiring-ndrrmc-chief-ramos-honored-at-camp-aguinaldo'],C,0.4168,['RP']
117049,2013-11-30-031688,"The President emphasized the importance of fine-tuning budget estimates to ensure that every peso is spent wisely, considering the magnitude of government expenditures not just for post-Yolanda rehabilitation and for other calamities including Zamboanga, Bohol and Central Luzon, post-typhoon Santi,",None,,2013-11-30 08:04:33,2,"['http://manilatimes.net/budget-for-yolanda-rehab-raised-by-p2-billion/56842/'
 'http://manilatimes.net/budget-for-yolanda-rehab-raised-by-p2-billion-2/57053/']",D,0.9612,['RP']
24943,2013-11-11-009547,"Congress has a duty to provide additional funds to the President when ever there is a shortfall in funds to address crisis situations. We have this money (PDAF), which has not been used and can be realigned swiftly to address the mounting requirement of people who suffered from the typhoons in Luzon, the earthquake in Central Visayas, the rebel siege in Zamboanga City, and now the strongest typhoon,",Rodolfo Biazon,Q2573673,2013-11-11 10:31:11,1,['http://newsinfo.inquirer.net/525363/lawmaker-pushes-resolution-realigning-p12-5b-in-pork-to-aquinos-calamity-fund'],D,0.7695,['RP']
65280,2013-11-21-075080,"The government expects to incur huge expenditures that will have a substantial impact on the national budget, especially considering that, even prior to super typhoon `Yolanda' , the country underwent a series of calamities such as typhoon `Pablo' , Zamboanga standoff, typhoon `Santi' in Central Luzon, and the Bohol earthquake, and this is now the subject of review by the Cabinet,",None,,2013-11-21 06:07:48,1,['http://www.abs-cbnnews.com/business/11/21/13/neda-board-tackle-rehab-plan-yolanda-hit-areas'],D,0.5507,['RP']
43246,2014-06-26-042738,"It comes like a thief in the night, without warning and cannot be predicted unlike typhoons. The magnitude 5.7 earthquake that jolted many parts of Luzon, including some areas in Bulacan might be a wake-up call to make our national leaders that as days passes-by, the aging Angat dam is becoming a ticking time bomb and a virtual `sword of Damocles,",Wilhelmino M. Sy-Alvarado,Q8002386,2014-06-26 14:00:59,1,['http://www.mb.com.ph/more-aftershocks-seen-angat-dam-still-at-risk/'],E,0.7061,['RP']
114771,2014-01-18-038899,"These funds are intended not only for Samar-Leyte but also for Northern Mindanao, Zamboanga City, Bohol and Cebu, the Davao provinces, and Luzon provinces devastated by Sendong and other typhoons like Santi and Pablo, by the earthquake and by the misadventure of certain Muslim rebels loyal to Nur Misuari,",Rufus Rodriguez,Q7378093,2014-01-18 02:41:07,1,['http://www.abs-cbnnews.com/nation/01/18/14/dbm-starts-release-yolanda-fund'],D,0.9467,['RP']
186941,2014-06-26-042737,"It comes like a thief in the night, without warning and cannot be predicted unlike typhoons. The magnitude 5.7 earthquake that jolted many parts of Luzon, including some areas in Bulacan might be a wake-up call to make our national leaders realize that as days pass by, the aging Angat dam is becoming a ticking time and a virtual `sword of Damocles,",Wilhelmino M. Sy-Alvarado,Q8002386,2014-06-26 14:17:24,1,['http://interaksyon.com/article/89978/magnitude-5-7-quake-prompts-new-call-for-rehab-of-aging-angat-dam'],E,0.5035,['RP']
76857,2017-11-12-074109,"To strengthen our humanitarian assistance and disaster response, the Office of Civil Defense, headed by Undersecretary (Ricardo) Jalad, and the National Disaster Risk Reduction and Management Council (NDRRMC) have conducted a harmonized contingency planning for a 7.2-magnitude earthquake, and continues to organize quarterly national simultaneous earthquake drills as preparedness measure in the event of a strong earthquake that will affect Metro Manila, Central Luzon, and Calabarzon,",Delfin Lorenzana,Q25351017,2017-11-12 02:35:53,1,['http://www.canadianinquirer.net/2017/11/10/dnd-beefs-up-disaster-response-capabilities-lorenzana/'],E,0.8536,['RP']
49604,2019-12-19-074170,"The dependability and reliability of the AFP have been recently tested after the series of earthquakes that rocked Mindanao and the storm and flooding that inundated [ parts ] of Luzon and in some areas in the Visayas. Know that for your selfless service during these times of need, the entire nation will be grateful,",Rodrigo Duterte,Q457786,2019-12-19 00:26:54,1,['http://www.canadianinquirer.net/2019/12/17/afp-urged-to-crush-illegal-drugs-terrorism/'],E,0.939,['RP']
23723,2019-04-23-009773,"Due to the Central Luzon earthquake, the Clark Airport Authority has declared the temporary closure of the Clark International Airport until 7:40 pm on Tuesday, April 23, pending the assessment and repair of the damage incurred by the Clark terminal building,",de Jesus,Multiple,2019-04-23 06:51:22,1,['https://newsinfo.inquirer.net/1109752/pal-cancels-flights-from-cagayan-de-oro-to-clark-and-back-after-mondays-quake'],E,0.5876,['RP']
27649,2019-04-29-018654,"For many years after the [ 1990 Luzon ] quake, I was horrified to watch countless trucks [ carrying ] lahar [ head ] for Metro Manila [ where the material would be used ] for housing and infrastructure concrete,",None,,2019-04-29 23:06:07,1,['https://newsinfo.inquirer.net/1111942/probe-of-lahar-use-in-supermarket-urged'],E,0.7532,['RP']
